H,S,L,Tag
357,64,68,가을 딥
41,49,56,가을 딥
12,7,63,가을 딥
0,26,87,가을 딥
344,58,39,가을 딥
27,45,38,가을 딥
61,27,73,가을 딥
33,46,66,가을 딥
344,58,39,가을 딥
3,48,39,가을 딥
358,54,75,가을 딥
27,32,55,가을 딥
342,66,26,가을 딥
344,62,45,가을 딥
184,54,27,가을 딥
60,42,30,가을 딥
49,41,28,가을 딥
320,53,30,가을 딥
165,50,14,가을 딥
54,34,13,가을 딥
5,32,87,가을 딥
26,31,72,가을 딥
32,49,67,가을 딥
28,33,55,가을 딥
78,21,50,가을 딥
60,43,30,가을 딥
54,35,13,가을 딥
21,7,63,가을 딥
57,35,72,가을 딥
356,61,77,가을 딥
184,32,68,가을 딥
180,43,47,가을 딥
184,44,29,가을 딥
168,50,14,가을 딥
41,54,58,가을 딥
27,46,39,가을 딥
21,50,55,가을 딥
3,49,40,가을 딥
197,55,55,가을 딥
201,84,38,가을 딥
204,71,29,가을 딥
348,79,67,가을 딥
345,63,47,가을 딥
3,61,56,가을 딥
348,65,15,가을 딥
316,27,63,가을 딥
319,52,31,가을 딥
323,57,17,가을 딥
359,71,71,가을 딥
346,58,40,가을 딥
343,70,26,가을 딥
325,61,17,가을 딥
46,39,29,가을 딥
31,59,21,가을 딥
69,13,9,가을 딥
35,40,82,가을 딥
32,31,72,가을 딥
34,56,80,가을 딥
31,66,79,가을 딥
31,42,65,가을 딥
2,83,75,가을 딥
355,59,56,가을 딥
9,73,66,가을 딥
8,44,55,가을 딥
0,36,32,가을 딥
353,47,29,가을 딥
354,42,42,가을 딥
350,57,47,가을 딥
353,67,54,가을 딥
0,50,55,가을 딥
356,9,33,가을 딥
30,16,57,가을 딥
16,6,32,가을 딥
31,6,52,가을 딥
31,11,74,가을 딥
46,48,78,가을 딥
63,35,74,가을 딥
41,67,79,가을 딥
9,87,84,가을 딥
174,38,71,가을 딥
330,39,75,가을 딥
330,38,61,가을 딥
330,33,46,가을 딥
348,57,39,가을 딥
351,38,20,가을 딥
0,0,14,가을 딥
18,18,19,가을 딥
217,43,22,가을 딥
167,30,15,가을 딥
326,16,19,가을 딥
15,43,56,가을 딥
23,73,70,가을 딥
31,39,53,가을 딥
37,56,62,가을 딥
35,85,73,가을 딥
82,29,62,가을 딥
72,40,58,가을 딥
73,27,48,가을 딥
70,29,31,가을 딥
96,11,17,가을 딥
44,28,46,가을 딥
43,23,24,가을 딥
206,44,23,가을 딥
170,34,17,가을 딥
161,41,28,가을 딥
168,40,41,가을 딥
175,55,40,가을 딥
176,50,53,가을 딥
191,51,59,가을 딥
192,64,43,가을 딥
192,65,32,가을 딥
188,65,27,가을 딥
175,42,17,가을 딥
354,46,59,가을 뮤트
355,63,71,가을 뮤트
10,64,71,가을 뮤트
16,77,78,가을 뮤트
28,74,73,가을 뮤트
16,82,68,가을 뮤트
27,81,68,가을 뮤트
28,80,76,가을 뮤트
43,70,66,가을 뮤트
42,82,72,가을 뮤트
40,86,68,가을 뮤트
65,38,59,가을 뮤트
60,29,49,가을 뮤트
94,36,40,가을 뮤트
186,37,66,가을 뮤트
186,23,62,가을 뮤트
190,15,55,가을 뮤트
216,15,52,가을 뮤트
228,17,67,가을 뮤트
26,14,60,가을 뮤트
216,21,38,가을 뮤트
38,46,76,가을 뮤트
21,31,55,가을 뮤트
22,46,65,가을 뮤트
25,24,38,가을 뮤트
338,49,77,가을 뮤트
216,46,73,가을 뮤트
163,30,74,가을 뮤트
282,18,68,가을 뮤트
311,4,80,가을 뮤트
5,6,64,가을 뮤트
41,19,77,가을 뮤트
37,14,59,가을 뮤트
169,25,73,가을 뮤트
154,25,61,가을 뮤트
183,25,41,가을 뮤트
57,15,62,가을 뮤트
64,9,52,가을 뮤트
327,5,36,가을 뮤트
217,4,32,가을 뮤트
180,36,60,가을 뮤트
196,34,33,가을 뮤트
185,17,26,가을 뮤트
28,43,69,가을 뮤트
20,15,52,가을 뮤트
356,19,53,가을 뮤트
346,20,37,가을 뮤트
205,51,64,가을 뮤트
210,39,48,가을 뮤트
225,27,51,가을 뮤트
236,31,28,가을 뮤트
350,64,78,가을 뮤트
351,59,68,가을 뮤트
343,58,68,가을 뮤트
344,31,48,가을 뮤트
343,38,40,가을 뮤트
215,42,38,가을 뮤트
226,33,28,가을 뮤트
67,10,84,가을 뮤트
56,22,83,가을 뮤트
43,24,82,가을 뮤트
55,17,71,가을 뮤트
45,18,65,가을 뮤트
174,46,55,가을 뮤트
172,50,43,가을 뮤트
176,66,23,가을 뮤트
158,50,30,가을 뮤트
142,38,17,가을 뮤트
43,61,73,가을 뮤트
34,76,76,가을 뮤트
39,74,73,가을 뮤트
37,59,67,가을 뮤트
39,42,60,가을 뮤트
197,46,59,가을 뮤트
202,50,42,가을 뮤트
203,65,26,가을 뮤트
216,32,48,가을 뮤트
220,45,23,가을 뮤트
60,7,74,가을 뮤트
35,7,58,가을 뮤트
41,5,38,가을 뮤트
160,2,52,가을 뮤트
191,7,25,가을 뮤트
353,93,87,가을 뮤트
1,70,67,가을 뮤트
350,52,34,가을 뮤트
348,50,52,가을 뮤트
350,52,34,가을 뮤트
28,51,67,가을 뮤트
25,40,61,가을 뮤트
28,24,48,가을 뮤트
29,24,34,가을 뮤트
9,15,22,가을 뮤트
5,84,87,가을 뮤트
7,100,80,가을 뮤트
359,69,69,가을 뮤트
359,48,55,가을 뮤트
357,40,46,가을 뮤트
14,26,44,가을 뮤트
2,25,42,가을 뮤트
2,32,30,가을 뮤트
3,24,26,가을 뮤트
350,24,24,가을 뮤트
228,31,64,가을 뮤트
228,24,44,가을 뮤트
231,27,24,가을 뮤트
60,17,58,가을 뮤트
2,25,42,가을 뮤트
49,12,29,가을 뮤트
83,14,50,가을 뮤트
91,13,24,가을 뮤트
169,42,17,가을 뮤트
170,45,37,가을 뮤트
155,30,39,가을 뮤트
154,35,60,가을 뮤트
154,42,71,가을 뮤트
45,50,78,가을 뮤트
345,21,36,가을 뮤트
181,31,58,가을 뮤트
41,14,58,가을 뮤트
342,38,39,가을 뮤트
204,43,61,가을 뮤트
189,44,29,가을 뮤트
154,24,60,가을 뮤트
223,42,28,가을 뮤트
224,26,49,가을 뮤트
184,19,25,가을 뮤트
28,40,68,가을 뮤트
187,13,50,가을 뮤트
48,14,63,가을 뮤트
323,4,80,가을 뮤트
352,51,76,가을 뮤트
17,15,52,가을 뮤트
323,5,36,가을 뮤트
35,18,77,가을 뮤트
343,48,65,가을 뮤트
89,26,49,가을 트루
53,25,58,가을 트루
9,74,67,가을 트루
225,52,26,가을 트루
157,55,25,가을 트루
55,47,36,가을 트루
350,67,46,가을 트루
21,38,92,가을 트루
21,34,82,가을 트루
32,53,83,가을 트루
37,58,74,가을 트루
9,87,70,가을 트루
0,84,66,가을 트루
350,70,49,가을 트루
3,88,89,가을 트루
23,9,73,가을 트루
317,2,52,가을 트루
324,13,29,가을 트루
53,26,59,가을 트루
54,49,36,가을 트루
33,22,25,가을 트루
30,35,65,가을 트루
2,10,41,가을 트루
331,13,24,가을 트루
271,19,17,가을 트루
91,27,50,가을 트루
154,46,27,가을 트루
189,24,14,가을 트루
18,63,71,가을 트루
354,33,49,가을 트루
33,54,55,가을 트루
17,39,39,가을 트루
186,49,50,가을 트루
193,56,54,가을 트루
190,60,27,가을 트루
27,72,64,가을 트루
8,67,57,가을 트루
351,60,40,가을 트루
347,47,31,가을 트루
215,38,52,가을 트루
227,50,27,가을 트루
254,29,40,가을 트루
36,47,84,가을 트루
35,38,80,가을 트루
38,26,75,가을 트루
42,61,80,가을 트루
39,72,77,가을 트루
14,100,74,가을 트루
1,93,71,가을 트루
2,92,70,가을 트루
3,81,61,가을 트루
356,64,50,가을 트루
344,29,17,가을 트루
354,48,30,가을 트루
349,49,42,가을 트루
352,73,64,가을 트루
2,69,71,가을 트루
2,13,31,가을 트루
32,4,52,가을 트루
64,9,70,가을 트루
16,83,81,가을 트루
21,67,84,가을 트루
66,17,70,가을 트루
33,14,47,가을 트루
32,11,36,가을 트루
41,9,26,가을 트루
55,32,62,가을 트루
71,24,53,가을 트루
53,42,44,가을 트루
46,41,30,가을 트루
47,25,18,가을 트루
144,28,16,가을 트루
148,46,22,가을 트루
143,50,30,가을 트루
107,39,31,가을 트루
100,30,55,가을 트루
348,12,22,가을 트루
17,17,26,가을 트루
28,17,40,가을 트루
32,29,55,가을 트루
32,41,66,가을 트루
24,71,72,가을 트루
16,55,66,가을 트루
10,33,49,가을 트루
2,32,38,가을 트루
355,26,21,가을 트루
183,52,46,가을 트루
181,58,30,가을 트루
189,53,52,가을 트루
190,66,31,가을 트루
192,56,20,가을 트루
267,20,27,가을 트루
268,20,44,가을 트루
225,35,31,가을 트루
214,32,52,가을 트루
31,36,30,가을 트루
31,43,49,가을 트루
34,61,60,가을 트루
31,89,67,가을 트루
38,87,68,가을 트루
23,83,66,가을 트루
21,65,56,가을 트루
15,69,58,가을 트루
6,52,47,가을 트루
0,46,34,가을 트루
19,60,69,가을 트루
284,18,16,가을 트루
323,12,28,가을 트루
38,53,72,가을 트루
211,31,42,가을 트루
31,33,64,가을 트루
2,76,88,가을 트루
21,36,92,가을 트루
7,60,55,가을 트루
340,14,23,가을 트루
319,2,52,가을 트루
32,49,82,가을 트루
349,63,39,가을 트루
0,0,100,겨울 딥
352,60,36,겨울 딥
293,21,49,겨울 딥
4,18,15,겨울 딥
0,33,2,겨울 딥
354,47,25,겨울 딥
304,32,24,겨울 딥
280,22,15,겨울 딥
339,56,66,겨울 딥
347,24,15,겨울 딥
327,18,13,겨울 딥
190,45,16,겨울 딥
340,46,36,겨울 딥
201,70,33,겨울 딥
158,64,20,겨울 딥
214,59,33,겨울 딥
337,29,16,겨울 딥
196,60,23,겨울 딥
114,12,16,겨울 딥
169,41,16,겨울 딥
0,0,100,겨울 딥
247,9,83,겨울 딥
236,10,66,겨울 딥
247,8,18,겨울 딥
163,37,45,겨울 딥
178,37,20,겨울 딥
193,44,19,겨울 딥
53,74,79,겨울 딥
318,41,89,겨울 딥
207,61,83,겨울 딥
234,46,82,겨울 딥
199,61,64,겨울 딥
195,56,30,겨울 딥
217,60,39,겨울 딥
340,63,66,겨울 딥
336,62,67,겨울 딥
335,61,56,겨울 딥
341,47,30,겨울 딥
204,59,41,겨울 딥
211,60,62,겨울 딥
251,38,21,겨울 딥
346,61,43,겨울 딥
342,55,38,겨울 딥
346,61,57,겨울 딥
334,36,23,겨울 딥
262,28,62,겨울 딥
270,27,26,겨울 딥
313,14,17,겨울 딥
347,57,63,겨울 딥
322,39,61,겨울 딥
327,38,39,겨울 딥
313,29,20,겨울 딥
100,25,29,겨울 딥
165,47,25,겨울 딥
240,10,15,겨울 딥
0,0,100,겨울 딥
41,17,85,겨울 딥
60,7,74,겨울 딥
41,4,59,겨울 딥
23,6,40,겨울 딥
157,70,40,겨울 딥
157,61,21,겨울 딥
165,38,16,겨울 딥
96,11,16,겨울 딥
3,18,15,겨울 딥
188,41,16,겨울 딥
188,70,28,겨울 딥
188,65,40,겨울 딥
170,65,23,겨울 딥
169,58,48,겨울 딥
0,0,0,겨울 딥
192,7,25,겨울 딥
165,2,61,겨울 딥
180,5,77,겨울 딥
192,5,81,겨울 딥
53,68,79,겨울 딥
350,46,86,겨울 딥
162,41,80,겨울 딥
196,54,78,겨울 딥
227,45,81,겨울 딥
195,66,60,겨울 딥
197,77,36,겨울 딥
198,65,24,겨울 딥
202,69,34,겨울 딥
208,41,18,겨울 딥
218,45,20,겨울 딥
212,64,33,겨울 딥
216,81,63,겨울 딥
205,71,36,겨울 딥
202,67,64,겨울 딥
98,40,28,겨울 딥
91,46,53,겨울 딥
38,82,68,겨울 딥
41,93,70,겨울 딥
50,91,71,겨울 딥
350,63,50,겨울 딥
350,73,59,겨울 딥
342,90,72,겨울 딥
343,69,57,겨울 딥
343,56,30,겨울 딥
283,28,64,겨울 딥
296,21,51,겨울 딥
300,28,24,겨울 딥
271,20,16,겨울 딥
340,20,14,겨울 딥
339,27,16,겨울 딥
341,46,38,겨울 딥
339,67,69,겨울 딥
345,45,23,겨울 딥
348,55,28,겨울 딥
353,60,38,겨울 딥
347,61,34,겨울 딥
349,67,41,겨울 딥
352,77,67,겨울 딥
351,69,56,겨울 딥
351,55,32,겨울 딥
355,45,26,겨울 딥
0,21,16,겨울 딥
0,0,100,겨울 브라이트
324,50,65,겨울 브라이트
186,54,58,겨울 브라이트
256,33,43,겨울 브라이트
160,4,73,겨울 브라이트
322,45,49,겨울 브라이트
174,38,77,겨울 브라이트
239,41,29,겨울 브라이트
340,8,7,겨울 브라이트
316,50,32,겨울 브라이트
257,32,85,겨울 브라이트
330,64,88,겨울 브라이트
287,38,28,겨울 브라이트
291,38,28,겨울 브라이트
147,43,51,겨울 브라이트
244,30,59,겨울 브라이트
219,60,22,겨울 브라이트
342,58,36,겨울 브라이트
172,62,38,겨울 브라이트
209,48,55,겨울 브라이트
0,0,100,겨울 브라이트
300,8,83,겨울 브라이트
231,11,76,겨울 브라이트
240,4,57,겨울 브라이트
151,65,43,겨울 브라이트
180,98,25,겨울 브라이트
130,87,6,겨울 브라이트
49,81,83,겨울 브라이트
339,95,90,겨울 브라이트
184,78,81,겨울 브라이트
244,80,87,겨울 브라이트
195,95,62,겨울 브라이트
205,96,45,겨울 브라이트
222,100,24,겨울 브라이트
50,89,61,겨울 브라이트
39,86,62,겨울 브라이트
78,74,47,겨울 브라이트
141,93,28,겨울 브라이트
211,97,67,겨울 브라이트
217,100,42,겨울 브라이트
230,96,34,겨울 브라이트
349,82,61,겨울 브라이트
353,99,40,겨울 브라이트
336,97,42,겨울 브라이트
342,100,24,겨울 브라이트
222,73,47,겨울 브라이트
237,52,54,겨울 브라이트
242,100,17,겨울 브라이트
317,83,64,겨울 브라이트
316,74,41,겨울 브라이트
328,95,38,겨울 브라이트
307,100,19,겨울 브라이트
297,52,53,겨울 브라이트
290,93,25,겨울 브라이트
255,100,0,겨울 브라이트
0,0,100,겨울 브라이트
51,20,86,겨울 브라이트
60,7,78,겨울 브라이트
48,2,60,겨울 브라이트
37,4,36,겨울 브라이트
314,62,67,겨울 브라이트
306,40,43,겨울 브라이트
292,40,29,겨울 브라이트
254,33,45,겨울 브라이트
240,39,30,겨울 브라이트
173,58,20,겨울 브라이트
171,68,38,겨울 브라이트
149,68,23,겨울 브라이트
144,73,38,겨울 브라이트
148,61,53,겨울 브라이트
0,0,7,겨울 브라이트
180,4,24,겨울 브라이트
146,4,60,겨울 브라이트
160,4,73,겨울 브라이트
150,2,81,겨울 브라이트
50,68,80,겨울 브라이트
1,70,89,겨울 브라이트
171,49,79,겨울 브라이트
322,91,90,겨울 브라이트
252,43,87,겨울 브라이트
184,69,59,겨울 브라이트
182,62,39,겨울 브라이트
192,78,60,겨울 브라이트
196,68,48,겨울 브라이트
197,75,28,겨울 브라이트
221,55,23,겨울 브라이트
215,67,39,겨울 브라이트
210,53,58,겨울 브라이트
218,62,38,겨울 브라이트
203,66,66,겨울 브라이트
84,35,47,겨울 브라이트
79,59,58,겨울 브라이트
41,96,69,겨울 브라이트
44,98,71,겨울 브라이트
49,83,71,겨울 브라이트
355,84,72,겨울 브라이트
354,74,60,겨울 브라이트
356,64,51,겨울 브라이트
342,68,55,겨울 브라이트
344,57,38,겨울 브라이트
219,51,56,겨울 브라이트
218,62,38,겨울 브라이트
224,46,22,겨울 브라이트
350,15,14,겨울 브라이트
340,9,12,겨울 브라이트
233,43,24,겨울 브라이트
245,30,50,겨울 브라이트
246,39,63,겨울 브라이트
348,58,32,겨울 브라이트
348,65,48,겨울 브라이트
346,75,60,겨울 브라이트
343,67,57,겨울 브라이트
337,83,71,겨울 브라이트
324,80,70,겨울 브라이트
323,52,52,겨울 브라이트
316,51,33,겨울 브라이트
330,58,47,겨울 브라이트
327,50,26,겨울 브라이트
0,0,100,겨울 트루
340,52,88,겨울 트루
145,50,46,겨울 트루
275,38,32,겨울 트루
195,9,25,겨울 트루
220,48,84,겨울 트루
162,71,27,겨울 트루
218,50,20,겨울 트루
0,4,4,겨울 트루
188,49,77,겨울 트루
186,79,24,겨울 트루
161,36,15,겨울 트루
241,34,25,겨울 트루
330,60,83,겨울 트루
335,73,62,겨울 트루
332,43,22,겨울 트루
216,70,30,겨울 트루
328,57,73,겨울 트루
353,59,50,겨울 트루
323,25,17,겨울 트루
240,15,89,겨울 트루
224,13,81,겨울 트루
240,5,63,겨울 트루
215,14,29,겨울 트루
321,83,88,겨울 트루
327,69,68,겨울 트루
326,72,61,겨울 트루
318,61,90,겨울 트루
59,84,80,겨울 트루
192,96,87,겨울 트루
234,80,89,겨울 트루
322,57,75,겨울 트루
332,47,50,겨울 트루
320,34,30,겨울 트루
159,47,60,겨울 트루
153,48,46,겨울 트루
163,53,29,겨울 트루
170,47,23,겨울 트루
257,41,68,겨울 트루
286,28,50,겨울 트루
252,39,39,겨울 트루
176,48,33,겨울 트루
193,57,55,겨울 트루
201,58,31,겨울 트루
182,36,14,겨울 트루
268,36,35,겨울 트루
234,47,36,겨울 트루
218,49,25,겨울 트루
206,94,72,겨울 트루
216,65,59,겨울 트루
212,77,40,겨울 트루
207,69,36,겨울 트루
222,72,36,겨울 트루
0,0,100,겨울 트루
0,0,0,겨울 트루
0,0,100,겨울 트루
37,12,87,겨울 트루
60,9,80,겨울 트루
26,7,58,겨울 트루
16,4,44,겨울 트루
322,96,87,겨울 트루
321,98,79,겨울 트루
329,92,72,겨울 트루
327,91,68,겨울 트루
330,60,41,겨울 트루
332,42,23,겨울 트루
331,54,42,겨울 트루
334,90,66,겨울 트루
341,88,66,겨울 트루
334,100,78,겨울 트루
0,0,5,겨울 트루
191,7,25,겨울 트루
173,4,56,겨울 트루
180,4,74,겨울 트루
192,5,81,겨울 트루
340,62,89,겨울 트루
52,92,78,겨울 트루
142,54,80,겨울 트루
185,67,79,겨울 트루
223,56,86,겨울 트루
325,81,78,겨울 트루
333,65,60,겨울 트루
331,54,42,겨울 트루
337,52,30,겨울 트루
325,26,18,겨울 트루
273,35,25,겨울 트루
297,30,49,겨울 트루
276,39,34,겨울 트루
282,33,47,겨울 트루
294,44,65,겨울 트루
347,63,41,겨울 트루
351,71,53,겨울 트루
46,100,68,겨울 트루
50,97,68,겨울 트루
53,93,71,겨울 트루
147,58,48,겨울 트루
149,79,40,겨울 트루
148,74,27,겨울 트루
153,67,21,겨울 트루
160,32,16,겨울 트루
315,39,34,겨울 트루
276,34,32,겨울 트루
239,36,34,겨울 트루
244,35,26,겨울 트루
218,43,20,겨울 트루
353,12,14,겨울 트루
225,42,23,겨울 트루
222,64,34,겨울 트루
218,50,46,겨울 트루
186,71,26,겨울 트루
184,67,42,겨울 트루
168,60,18,겨울 트루
162,74,27,겨울 트루
162,77,41,겨울 트루
192,64,54,겨울 트루
195,70,44,겨울 트루
198,78,29,겨울 트루
206,63,47,겨울 트루
209,86,36,겨울 트루
272,32,77,봄 라이트
277,29,77,봄 라이트
270,32,77,봄 라이트
318,50,82,봄 라이트
358,86,90,봄 라이트
19,94,86,봄 라이트
24,84,85,봄 라이트
26,90,87,봄 라이트
32,96,89,봄 라이트
60,89,92,봄 라이트
268,28,63,봄 라이트
327,40,70,봄 라이트
0,83,79,봄 라이트
